family,gene,mouse gene,source,skin compartment,compartment confidence,full name,role,key reference,validated in,psoriasis relevance,family review
Cytoskeleton & contractility,PDLIM1,Pdlim1,Aragona 2020 (scRNA DEGs),Both,Medium,PDLIM1 (CLP36),PDZ-LIM actin stress-fibre scaffold; mechano,"Aragona, Nature, 2020 [PMC7116042]",,Stretch-induced actin scaffold,
Cytoskeleton & contractility,PDLIM7,Pdlim7,Xiong 2024 (MechanoBase),Both,Medium,PDZ-LIM domain 7 (Enigma),actin stress-fibre LIM scaffold (with PDLIM1/4),"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Cytoskeleton & contractility,PFN1,Pfn1,Aragona 2020 (scRNA DEGs),Both,High,Profilin-1,actin-monomer chaperone; polymerisation control,"Aragona, Nature, 2020 [PMC7116042]",,Stretch-induced actin regulator,
Cytoskeleton & contractility,PLS3,Pls3,Xiong 2025 (MechanoGEPred),Both,Medium,Plastin-3,actin-bundling protein,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,RAC1,Rac1,Curated panel,Both,High,RAC1,"Rho-family GTPase, lamellipodia","Heasman, Nat Rev MCB, 2008 [PMID 18719708]",Suriyagandhi 2024,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,RHOA,Rhoa,Curated panel,Both,High,RhoA,"master Rho-GTPase, activates ROCK","Hall, J Cell Sci, 2012 [PMID 23176484]",,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,RHOB,Rhob,Xiong 2024 (MechanoBase),Both,Medium,RhoB GTPase,stress-responsive Rho-family GTPase (with RHOA/C),"Xiong, Database (Oxford), 2024 [PMC11131424]",,,
Cytoskeleton & contractility,RHOC,Rhoc,Curated panel,Both,High,RhoC,cancer-progression RhoGTPase,"Vega, FEBS Lett, 2008 [PMID 18460342]",,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,RND2,Rnd2,Cosgrove 2025 (mechano-enhancers),Both,Medium,Rnd2 (atypical Rho GTPase),Rho-family GTPase; stiffness-responsive cytoskeletal regulator,"Cosgrove, Science, 2025 [PMC13005951]",,,
Cytoskeleton & contractility,RND3,Rnd3,Xiong 2025 (MechanoGEPred),Both,Medium,RhoE (RND3),atypical Rho GTPase; ROCK antagonist,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,ROCK1,Rock1,Curated panel,Both,High,ROCK1,"Rho-kinase, phosphorylates MLC + MYPT1","Riento, Nat Rev MCB, 2003 [PMID 12778124]",Javed 2025; Koester 2021,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,ROCK2,Rock2,Curated panel,Both,High,ROCK2,Rho-kinase isoform,"Riento, Nat Rev MCB, 2003 [PMID 12778124]",Bonjoch 2025,,Pollard & Cooper 2009 [Science]; Vicente-Manzanares et al. 2009 [Nat Rev MCB]
Cytoskeleton & contractility,STMN1,Stmn1,Xiong 2025 (MechanoGEPred),Both,Medium,Stathmin-1,microtubule-dynamics regulator,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,SVIL,Svil,Cosgrove 2025 (mechano-enhancers),Both,Medium,Supervillin,actin-membrane mechano-linker,"Cosgrove, Science, 2025 [PMC13005951]",Villeneuve 2026,,
Cytoskeleton & contractility,TAGLN,Tagln,Villeneuve 2024 (HF morphogenesis),Dermis,Medium,Transgelin / SM22-alpha,canonical stretch-responsive actin-binding protein (with TAGLN2),"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]; Assinder, Int J Biochem Cell Biol, 2009 [PMID 18378184]",Aguilera-Stewart 2025; McCreery 2025; Urbanska 2024,,
Cytoskeleton & contractility,TAGLN2,Tagln2,Aragona 2020 (scRNA DEGs),Both,Medium,Transgelin-2,actin-binding stress-fibre stabiliser; stretch-responsive,"Aragona, Nature, 2020 [PMC7116042]",,Stretch-induced actin-binding protein,
Cytoskeleton & contractility,TPM1,Tpm1,Aragona 2020 (scRNA DEGs),Both,Medium,Tropomyosin-1,actin-filament stabiliser; actomyosin contractility,"Aragona, Nature, 2020 [PMC7116042]; Gunning, J Cell Sci, 2008 [PMID 18195081]",,Stretch-induced tropomyosin,
Cytoskeleton & contractility,TPM2,Tpm2,Aragona 2020 (scRNA DEGs),Both,Medium,Tropomyosin-2,actin-filament stabiliser; actomyosin contractility,"Aragona, Nature, 2020 [PMC7116042]",Xiong 2024,Stretch-induced tropomyosin,
Cytoskeleton & contractility,TPM4,Tpm4,Villeneuve 2024 (HF morphogenesis),Both,Medium,Tropomyosin-4,actin-filament stabiliser; actomyosin contractility,"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",,,
Cytoskeleton & contractility,TTN,Ttn,Xiong 2025 (MechanoGEPred),Both,Low,Titin,giant sarcomeric mechanosensor/spring,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Cytoskeleton & contractility,WAS,Was,Xiong 2025 (MechanoGEPred),Both,Medium,WASP (WAS),Arp2/3 actin-nucleation activator,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Dermo-epidermal junction / hemidesmosome,COL7A1,Col7a1,Skin/psoriasis review,Both,Medium,Collagen VII alpha-1,anchoring fibrils tethering basement membrane to dermis (load-bearing),"Bruckner-Tuderman, Dermatol Clin, 2009 [PMID 19945622]",Kaivola 2026; Koester 2021,Mechanical dermo-epidermal tether; lost in recessive dystrophic EB,
Dermo-epidermal junction / hemidesmosome,COL17A1,Col17a1,Skin/psoriasis review,Epidermis,High,Collagen XVII alpha-1 (BP180),transmembrane hemidesmosome collagen; basal-keratinocyte anchorage,"Has, J Invest Dermatol, 2010 [PMID 20861856]",Villeneuve 2026; Koester 2021; Bonjoch 2025,Hemidesmosome anchorage; bullous pemphigoid / junctional EB,
Dermo-epidermal junction / hemidesmosome,DST,Dst,Skin/psoriasis review,Epidermis,Medium,Dystonin / BPAG1,hemidesmosome cytolinker; anchors keratin to hemidesmosome,"Kunzli, Exp Dermatol, 2016 [PMID 26479498]",Villeneuve 2026,Hemidesmosome cytolinker; EB simplex,
Dermo-epidermal junction / hemidesmosome,LAMA2,Lama2,Cosgrove 2025 (mechano-enhancers),Both,Medium,Laminin alpha-2,basement-membrane laminin (stiffness-responsive),"Cosgrove, Science, 2025 [PMC13005951]",,,
Dermo-epidermal junction / hemidesmosome,LAMA3,Lama3,Skin/psoriasis review,Epidermis,Medium,Laminin alpha-3 (laminin-332),basement-membrane laminin-332; hemidesmosome adhesion ligand,"Aumailley, Matrix Biol, 2013 [PMC3544786]",Fiore 2020; McCreery 2025; Kaivola 2026; Koester 2021,Laminin-332 anchorage; junctional EB,
Dermo-epidermal junction / hemidesmosome,LAMA5,Lama5,Bansaccal 2023 (ECM-tumour),Both,Medium,Laminin alpha-5,basement-membrane laminin; BM composition/stiffness,"Bansaccal, Nature, 2023 [PMC7615367]",,Basement-membrane laminin,
Dermo-epidermal junction / hemidesmosome,LAMB1,Lamb1,Fiore 2020 (tumour mechanics),Both,Medium,Laminin beta-1,major basement-membrane laminin; BM-stiffness axis,"Fiore, Nature, 2020 [PMC7787055]",McCreery 2025; Kaivola 2026,Basement-membrane laminin,
Dermo-epidermal junction / hemidesmosome,LAMB3,Lamb3,Skin/psoriasis review,Epidermis,Medium,Laminin beta-3,laminin-332 chain; hemidesmosome adhesion,"Aumailley, Matrix Biol, 2013 [PMC3544786]",Fiore 2020; Villeneuve 2026; Kaivola 2026; Koester 2021,Laminin-332 anchorage; junctional EB,
Dermo-epidermal junction / hemidesmosome,LAMC2,Lamc2,Skin/psoriasis review,Epidermis,Medium,Laminin gamma-2,laminin-332 chain; keratinocyte BM anchorage & migration,"Aumailley, Matrix Biol, 2013 [PMC3544786]",Fiore 2020; Kaivola 2026; Koester 2021,Laminin-332 anchorage; junctional EB; wound-edge migration,
Dermo-epidermal junction / hemidesmosome,NID1,Nid1,Villeneuve 2024 (HF morphogenesis),Both,Medium,Nidogen-1,basement-membrane bridging protein (links laminin & collagen IV),"Villeneuve, Nat Cell Biol, 2024 [PMC10866703]",Fiore 2020; Kaivola 2026,,
Dermo-epidermal junction / hemidesmosome,PLEC,Plec,Skin/psoriasis review,Both,Medium,Plectin,cytolinker integrating intermediate filaments with hemidesmosomes,"Wiche, 2021",,IF-hemidesmosome cytolinker; EB simplex with muscular dystrophy,
ECM mechano-regulator,BMP1,Bmp1,Xiong 2025 (MechanoGEPred),Dermis,Medium,BMP1 (procollagen C-proteinase),collagen-maturation metalloprotease,"Xiong, BioData Min, 2025 [PMC12625330]",Kaivola 2026,,
ECM mechano-regulator,CILP,Cilp,Cosgrove 2025 (mechano-enhancers),Dermis,Medium,Cartilage intermediate-layer protein,matricellular ECM; top stiffness-responsive gene (TGF-beta-binding),"Cosgrove, Science, 2025 [PMC13005951]",,,
ECM mechano-regulator,DPT,Dpt,Aguilera-Stewart 2025 (fibroblast),Dermis,High,Dermatopontin,dermal ECM proteoglycan; collagen fibrillogenesis,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",,Dermis-specific ECM,
ECM mechano-regulator,EFEMP1,Efemp1,Aguilera-Stewart 2025 (fibroblast),Dermis,Medium,Fibulin-3 (EFEMP1),elastic-fibre matricellular ECM,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",,Elastic-fibre dermal ECM,
ECM mechano-regulator,FBN1,Fbn1,Curated panel,Dermis,High,Fibrillin-1,"elastic-fibre core, sequesters TGF-β","Ramirez, Cell Tissue Res, 2010 [PMC2819175]",Aguilera-Stewart 2025; Fiore 2020,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,FGF2,Fgf2,Xiong 2025 (MechanoGEPred),Both,Medium,FGF2 (bFGF),"heparin-binding GF; ECM-sequestered, mechano-released","Xiong, BioData Min, 2025 [PMC12625330]",McCreery 2025,,
ECM mechano-regulator,FSTL3,Fstl3,Xiong 2025 (MechanoGEPred),Both,Medium,Follistatin-like 3,activin/TGF-beta antagonist; mechano-responsive,"Xiong, BioData Min, 2025 [PMC12625330]",,,
ECM mechano-regulator,GREM1,Grem1,Curated panel,Dermis,Medium,Gremlin-1,"BMP antagonist, fibroblast activation","Mulvihill, 2011",,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,HTRA1,Htra1,Curated panel,Dermis,High,HtrA1,"secreted serine protease, ECM remodelling","Clausen, Nat Rev MCB, 2011 [PMID 21326199]",Kaivola 2026,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,IGFBP2,Igfbp2,Xue 2025 (stretched-skin scRNA-seq),Both,Medium,IGF-binding protein 2,matricellular IGF regulator (with IGFBP5/7); stretch-signature gene,"Xue, Nat Commun, 2025 [PMID 40715139]",Villeneuve 2026; Kaivola 2026,,
ECM mechano-regulator,IGFBP5,Igfbp5,Aguilera-Stewart 2025 (fibroblast),Dermis,Medium,IGF-binding protein 5,matricellular ECM-bound IGF regulator; fibrosis,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",Villeneuve 2026,Stromal matricellular protein,
ECM mechano-regulator,IGFBP7,Igfbp7,Urbanska 2024 (universal mechanics signature),Both,Medium,IGF-binding protein 7 (angiomodulin),matricellular protein; member of the de-novo universal 5-gene cell-mechanics signature (CAV1/FHL2/IGFBP7/TAGLN/THBS1),"Urbanska, eLife, 2025 [PMC11832173]",McCreery 2025; Kaivola 2026,,
ECM mechano-regulator,ITGBL1,Itgbl1,Suriyagandhi 2024 (mechano-inflammation network),Dermis,Medium,Integrin beta-like 1,secreted integrin-modulating ECM protein,"Suriyagandhi, Mechanobiol Med, 2025 [PMC12082120]",,,
ECM mechano-regulator,LOX,Lox,Curated panel,Dermis,High,Lysyl oxidase,collagen/elastin crosslinker — sets matrix stiffness,"Levental, Cell, 2009 [PMID 19931152]",Aguilera-Stewart 2025; Kaivola 2026; Jiang 2024; Enyedi 2016,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,LOXL1,Loxl1,Curated panel,Dermis,High,LOX-like 1,elastin crosslinking,"Liu, Nat Genet, 2004 [PMID 14745449]",Kaivola 2026; Koester 2021,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,LOXL2,Loxl2,Curated panel,Dermis,High,LOX-like 2,tumour-stroma stiffening enzyme,"Barker, Nat Rev Cancer, 2012 [PMID 22810810]",Kaivola 2026,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,LOXL3,Loxl3,Kaivola 2026 (vocal-fold SCC),Dermis,Medium,Lysyl oxidase-like 3,collagen/elastin crosslinker; matrix stiffening (with LOX/LOXL1/2),"Kaivola, Nat Mater, 2026 [PMID 41721007]",,Matrix-stiffening crosslinker,
ECM mechano-regulator,LTBP1,Ltbp1,Curated panel,Dermis,High,LTBP1,"latent TGF-β binding protein, mechano-activated TGF-β release","Annes, J Cell Sci, 2003 [PMID 12482908]",Kaivola 2026,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,LTBP2,Ltbp2,Curated panel,Dermis,High,LTBP2,latent TGF-β binding protein 2,"Robertson, Matrix Biol, 2015 [PMC4844006]",Kaivola 2026,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,LTBP4,Ltbp4,Suriyagandhi 2024 (mechano-inflammation network),Dermis,Medium,Latent TGF-beta binding protein 4,mechano-activated TGF-beta sequestration (with LTBP1/2),"Suriyagandhi, Mechanobiol Med, 2025 [PMC12082120]",,,
ECM mechano-regulator,MXRA8,Mxra8,Aguilera-Stewart 2025 (fibroblast),Both,Medium,Matrix-remodelling associated 8,cell-surface adhesion/matrix-remodelling protein,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",,Matrix-remodelling adhesion protein,
ECM mechano-regulator,PCOLCE2,Pcolce2,Aguilera-Stewart 2025 (fibroblast),Dermis,Medium,Procollagen C-endopeptidase enhancer 2,collagen maturation; ECM assembly,"Aguilera-Stewart, bioRxiv, 2025 [preprint]",,Collagen-processing dermal ECM,
ECM mechano-regulator,POSTN,Postn,Curated panel,Dermis,Medium,Periostin,"matricellular protein, fibroblast-secreted, fibrotic stroma","Conway, Cell Mol Life Sci, 2014 [PMC3949008]",Aguilera-Stewart 2025; Bansaccal 2023; Kaivola 2026; Xue 2025,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,SERPINE1,Serpine1,Skin/psoriasis review,Both,Medium,PAI-1 (Serpin E1),stretch/TGF-beta-induced protease inhibitor; fibrosis & senescence,"Ghosh, J Cell Physiol, 2012 [PMC3204398]",McCreery 2025; Kaivola 2026; Bonjoch 2025; Young 2023,Mechano/TGF-beta-induced; elevated in psoriasis; fibrosis & CV comorbidity,
ECM mechano-regulator,SPARC,Sparc,Literature review,Dermis,High,Osteonectin/SPARC,Matricellular collagen-binding mechano-modulator,"Bradshaw, J Cell Commun Signal, 2009 [PMC2778582]",Aguilera-Stewart 2025; Fiore 2020; Kaivola 2026; Koester 2021; Xue 2025,Stromal remodeling,
ECM mechano-regulator,SPP1,Spp1,Literature review,Dermis,Medium,Osteopontin,Mechano-responsive matricellular protein; stiffness-coupled,"Bradshaw, J Cell Commun Signal, 2009 [PMC2778582]",Kaivola 2026; Hunter 2025; Jiang 2024,Immune/inflammatory matricellular signalling,
ECM mechano-regulator,SULF1,Sulf1,Curated panel,Dermis,High,Sulfatase-1,"removes 6-O-sulfates from heparan sulfate, modulates GF signalling","Rosen, 2010",Kaivola 2026; Bonjoch 2025,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,SULF2,Sulf2,Curated panel,Dermis,High,Sulfatase-2,heparan sulfate sulfatase,"Rosen, 2010",Aguilera-Stewart 2025,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,TGFB1,Tgfb1,Curated panel,Both,High,TGF-β1,"mechano-activatable cytokine, fibrotic master regulator","Hinz, Matrix Biol, 2015 [PMID 25960420]; Wipff, J Cell Biol, 2007 [PMC2140013]",Xue 2025,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,TGFB2,Tgfb2,Curated panel,Both,High,TGF-β2,TGF-β isoform,"Massagué, Nat Rev MCB, 2012 [PMC4027049]",,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,TGFB3,Tgfb3,Curated panel,Both,High,TGF-β3,TGF-β isoform,"Massagué, Nat Rev MCB, 2012 [PMC4027049]",,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,TGFBI,Tgfbi,Aguilera-Stewart 2025 (fibroblast),Both,Medium,TGF-beta-induced (beta ig-h3),integrin-binding secreted ECM (mechano-adhesion),"Aguilera-Stewart, bioRxiv, 2025 [preprint]",Kaivola 2026; Xiong 2025,Integrin-binding matricellular ECM,
ECM mechano-regulator,TGM2,Tgm2,Young 2023 (single-cell genomechanics),Both,Medium,Transglutaminase 2 (tissue TG),"Ca2+-dependent ECM/protein crosslinker; STRONGEST negative correlate of single-cell stiffness (softer=more TGM2), siRNA knockdown raised stiffness; EMT/ECM remodelling","Young, iScience, 2023 [PMC10074148]",,,
ECM mechano-regulator,THBS1,Thbs1,Curated panel,Dermis,High,Thrombospondin-1,"matricellular, latent TGF-β activator","Adams, CSH Perspect Biol, 2011 [PMC3179333]",Fiore 2020; Bonjoch 2025; Urbanska 2024,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
ECM mechano-regulator,THBS2,Thbs2,Curated panel,Dermis,High,Thrombospondin-2,"matricellular, ECM organization","Adams, CSH Perspect Biol, 2011 [PMC3179333]",Kaivola 2026,,Bonnans et al. 2014 [Nat Rev MCB]; Cox & Erler 2011 [Dis Model Mech]
Endothelial flow-mechano,CDH5,Cdh5,Xiong 2025 (MechanoGEPred),Dermis,Medium,VE-cadherin (CDH5),endothelial junction mechanosensor (flow),"Xiong, BioData Min, 2025 [PMC12625330]",Aguilera-Stewart 2025; Koester 2021,,
Endothelial flow-mechano,EDN1,Edn1,Curated panel,Both,Medium,Endothelin-1,shear-induced vasoactive peptide,"Yanagisawa, Nature, 1988 [PMID 2451132]",,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano,EDNRA,Ednra,Curated panel,Dermis,High,Endothelin receptor A,ET-1 GPCR,"Yanagisawa, Nature, 1988 [PMID 2451132]",,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano,ICAM1,Icam1,Xiong 2025 (MechanoGEPred),Both,Medium,ICAM-1,flow-induced endothelial leukocyte-adhesion molecule,"Xiong, BioData Min, 2025 [PMC12625330]",Villeneuve 2026; Xia 2025,,
Endothelial flow-mechano,JAG1,Jag1,Curated panel,Both,Medium,Jagged-1,"Notch ligand, flow-modulated in endothelium","Loerakker, PNAS, 2018 [PMC5910818]",Villeneuve 2026,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano,KDR,Kdr,Curated panel,Dermis,High,VEGFR2,vascular endothelial growth factor receptor 2; flow-responsive,"Jin, 2003",,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano,NOS3,Nos3,Xiong 2025 (MechanoGEPred),Dermis,Medium,eNOS (NOS3),shear-stress-activated endothelial NO synthase,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Endothelial flow-mechano,PECAM1,Pecam1,Curated panel,Dermis,High,CD31 / PECAM-1,junctional shear-stress mechanosensor,"Tzima, Nature, 2005 [PMID 16163360]",Aguilera-Stewart 2025; Javed 2025,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano,TIE1,Tie1,Curated panel,Dermis,High,Tie1,"endothelial RTK, flow-modulated","Saharinen, 2017",,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano,VCAM1,Vcam1,Xiong 2025 (MechanoGEPred),Dermis,Medium,VCAM-1,flow-induced endothelial leukocyte-adhesion molecule,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Endothelial flow-mechano,VWF,Vwf,Curated panel,Dermis,High,von Willebrand Factor,shear-induced multimerization,"Sadler, Annu Rev Biochem, 1998 [PMID 9759493]",,,Davies 2009 [Nat Clin Pract Cardiovasc Med]; Tzima et al. 2005 [Nature]
Endothelial flow-mechano (extra),ANGPT1,Angpt1,Curated panel,Dermis,High,Angiopoietin-1,vascular stability ligand for TIE2; flow-induced,"Augustin, Nat Rev MCB, 2009 [PMID 19234476]",,,Mack et al. 2017 [Nat Commun]; Augustin et al. 2009 [Nat Rev MCB]
Endothelial flow-mechano (extra),EFNB2,Efnb2,Xiong 2025 (MechanoGEPred),Dermis,Medium,Ephrin-B2,arterial endothelial guidance/mechano,"Xiong, BioData Min, 2025 [PMC12625330]",,,
Endothelial flow-mechano (extra),FLT1,Flt1,Curated panel,Dermis,High,VEGFR1,"VEGF receptor 1; flow-modulated, partners with KDR","Shibuya, Genes Cancer, 2011 [PMC3411125]",Aguilera-Stewart 2025; Villeneuve 2026,,Mack et al. 2017 [Nat Commun]; Augustin et al. 2009 [Nat Rev MCB]
Endothelial flow-mechano (extra),JAG2,Jag2,Cosgrove 2025 (mechano-enhancers),Both,Medium,Jagged-2,Notch ligand (with JAG1); stiffness-responsive,"Cosgrove, Science, 2025 [PMC13005951]",Villeneuve 2026,,
Endothelial flow-mechano (extra),NOTCH1,Notch1,Curated panel,Both,Medium,NOTCH1,endothelial mechanosensor; directly shear-stress responsive in adult arteries,"Mack, Nat Commun, 2017 [PMC5696341]",Villeneuve 2026; Suriyagandhi 2024; Hunter 2025; Yu 2022,,Mack et al. 2017 [Nat Commun]; Augustin et al. 2009 [Nat Rev MCB]
Endothelial flow-mechano (extra),NOTCH2,Notch2,Villeneuve 2026 (multilayering),Both,Medium,Notch receptor 2,Notch receptor (with NOTCH1); mechano-regulated in epidermal stratification,"Villeneuve, bioRxiv, 2026 [preprint]",Hunter 2025,Notch receptor,
Endothelial flow-mechano (extra),NRP1,Nrp1,Curated panel,Dermis,High,Neuropilin-1,VEGF / semaphorin co-receptor; flow-modulated in endothelium,"Pellet-Many, Biochem J, 2008 [PMID 18363553]",,,Mack et al. 2017 [Nat Commun]; Augustin et al. 2009 [Nat Rev MCB]
Endothelial flow-mechano (extra),NRP2,Nrp2,Xiong 2025 (MechanoGEPred),Dermis,Medium,Neuropilin-2,VEGF/endothelial co-receptor (with NRP1),"Xiong, BioData Min, 2025 [PMC12625330]",Bansaccal 2023,,
Endothelial flow-mechano (extra),VEGFB,Vegfb,Curated panel,Dermis,High,VEGF-B,vascular endothelial growth factor B; flow-modulated,"Olsson, Nat Rev MCB, 2006 [PMID 16633338]",,,Mack et al. 2017 [Nat Commun]; Augustin et al. 2009 [Nat Rev MCB]
Epithelial mechano (extras),EPCAM,Epcam,Curated panel,Epidermis,High,EpCAM,regulates cortical actomyosin contractility and cell stiffness via RhoA,"Hsu, 2016",Aguilera-Stewart 2025,,Hsu et al. 2016 [Oncotarget]; Broussard et al. 2025 [Nat Commun]
Epithelial mechano (extras),KRT1,Krt1,Skin/psoriasis review,Epidermis,High,Keratin 1,suprabasal differentiation keratin (with KRT10); epidermal IF mechanics,"Roth, J Cell Sci, 2012 [PMID 23132931]",Aragona 2020; Fiore 2020; Villeneuve 2026; Yu 2022; Xue 2025,Suprabasal keratin; epidermolytic ichthyosis; downregulated in psoriasis,
Epithelial mechano (extras),KRT5,Krt5,Literature review,Epidermis,High,Keratin 5,Basal keratin; cytoskeletal scaffold,"Ramms, PNAS, 2013 [PMC3831947]",Aragona 2020; Aguilera-Stewart 2025; Fiore 2020; Villeneuve 2026; Xue 2025,Basal keratinocyte compartment,
Epithelial mechano (extras),KRT6A,Krt6a,Literature review,Epidermis,High,Keratin 6A,Inflammatory/stress keratin,"Zhang, 2019",Aragona 2020,Hallmark psoriasis induction,
Epithelial mechano (extras),KRT10,Krt10,Skin/psoriasis review,Epidermis,High,Keratin 10,suprabasal differentiation keratin (with KRT1),"Reichelt, J Cell Sci, 2002 [PMID 12077355]",Aragona 2020; Bansaccal 2023; Fiore 2020; Villeneuve 2026; Yu 2022; Xue 2025,Suprabasal keratin; epidermolytic ichthyosis; downregulated in psoriasis,
Epithelial mechano (extras),KRT14,Krt14,Literature review,Epidermis,High,Keratin 14,Basal keratin; tunes rigidity sensing,"Ramms, PNAS, 2013 [PMC3831947]",Aragona 2020; Aguilera-Stewart 2025; Fiore 2020; Villeneuve 2024; Villeneuve 2026; Koester 2021; Xue 2025; Jiang 2024,Basal keratinocyte compartment,
Epithelial mechano (extras),KRT15,Krt15,Curated panel,Epidermis,High,Keratin 15,sequesters YAP1 (modulates Hippo) in basal keratinocytes,"Sandilands, J Cell Biol, 2026 [PMC9997661]",Aragona 2020; Xue 2025,,Hsu et al. 2016 [Oncotarget]; Broussard et al. 2025 [Nat Commun]
Epithelial mechano (extras),KRT16,Krt16,Literature review,Epidermis,High,Keratin 16,Inflammatory/stress keratin,"Zhang, 2019",Jiang 2024,Hallmark psoriasis induction,
Epithelial mechano (extras),KRT17,Krt17,Literature review,Epidermis,High,Keratin 17,Inflammatory/stress keratin; autoantigen,"Zhang, 2019",Yu 2022; Jiang 2024,Hallmark psoriasis induction; IL-17/STAT3 loop,
Epithelial mechano (extras),KRT19,Krt19,Curated panel,Epidermis,High,Keratin 19,directly couples F-actin to desmosomes; tunes actomyosin force loading,"Broussard, 2025",,,Hsu et al. 2016 [Oncotarget]; Broussard et al. 2025 [Nat Commun]
Epithelial mechano (extras),SPRR3,Sprr3,Curated panel,Epidermis,High,Small proline-rich 3,cyclic strain induces SPRR3 ~5x in VSMCs via α1β1-collagen integrin engagement,"Pyle, Am J Pathol, 2008 [PMC2570146]",,,Hsu et al. 2016 [Oncotarget]; Broussard et al. 2025 [Nat Commun]
FA scaffold (extra),FHL2,Fhl2,Skin/psoriasis review,Both,Medium,Four-and-a-half LIM domains 2,focal-adhesion->nucleus mechanotransducer/co-activator,"Muller, EMBO J, 2002 [PMC125855]",Urbanska 2024,Force-regulated FA-nuclear shuttle co-activator,
FA scaffold (extra),NEDD9,Nedd9,Curated panel,Both,High,NEDD9 / HEF1 / Cas-L,Cas-family force-stretch scaffold; Src kinase substrate; metastasis-associated,"Sawada, Cell, 2006 [PMC2746973]; O'Neill, Cancer Res, 2007 [PMID 17908996]",,,Sawada et al. 2006 [Cell]; O'Neill et al. 2007 [Cancer Res]
Fibrillar / load-bearing ECM,BGN,Bgn,Curated panel,Dermis,High,Biglycan,"SLRP, stretch-induced TLR signalling","Iozzo, Matrix Biol, 2015 [PMC4859157]",,,Mouw et al. 2014 [Nat Rev MCB]; Iozzo & Schaefer 2015 [Matrix Biol]
